id,activity_type,transaction_time,type,price,qty,side,symbol,leaves_qty,order_id,cum_qty,order_status
20260225133656588::199e0fbf-b4c8-4d64-85c7-0a0718f6bde7,FILL,2026-02-25T18:36:56.588091Z,partial_fill,64.49,12,sell,BBIO,45,e9a2050d-4873-4082-aa51-a5c9bfb626ec,12,partially_filled
20260225114502703::432263f2-532b-4764-a5c0-04f38d0e49e4,FILL,2026-02-25T16:45:02.703761Z,fill,16.43,240,buy,FLNC,0,59077e89-6a3c-47b0-abd9-0a92ac651ed8,240,filled
20260225114402765::1c3c91d2-b04e-40c0-97a2-c3a9564a0e1f,FILL,2026-02-25T16:44:02.765656Z,fill,66.63,1,buy,BBIO,0,ff459192-1a93-4879-bb3b-66834f198031,57,filled
20260225114401913::faa0aa8f-2d60-4b98-b3e1-9c259632b398,FILL,2026-02-25T16:44:01.913637Z,partial_fill,66.63,1,buy,BBIO,1,ff459192-1a93-4879-bb3b-66834f198031,56,partially_filled
20260225114400721::58f9d0e5-fdad-4f6b-9a04-09375f7b3fa5,FILL,2026-02-25T16:44:00.721374Z,partial_fill,66.63,3,buy,BBIO,2,ff459192-1a93-4879-bb3b-66834f198031,55,partially_filled
20260225114400315::14243ba0-728c-4bfc-a377-da3a22090f76,FILL,2026-02-25T16:44:00.315691Z,partial_fill,66.63,52,buy,BBIO,5,ff459192-1a93-4879-bb3b-66834f198031,52,partially_filled
20260225111444445::11130792-3d47-409a-9a48-7cface7fed9c,FILL,2026-02-25T16:14:44.445252Z,fill,312.26,1,buy,MDB,0,80095f24-f5ce-420c-91f0-4ff96296ea9a,12,filled
20260225111444132::5a9ff804-323d-4768-81b7-345ef19592ff,FILL,2026-02-25T16:14:44.13253Z,partial_fill,312.26,1,buy,MDB,1,80095f24-f5ce-420c-91f0-4ff96296ea9a,11,partially_filled
20260225111443489::acccd6e6-4ce6-46b0-bc36-257775cd4d97,FILL,2026-02-25T16:14:43.489683Z,partial_fill,312.26,2,buy,MDB,2,80095f24-f5ce-420c-91f0-4ff96296ea9a,10,partially_filled
20260225111443129::e06d82a1-aa62-434c-8a00-1098d19747ae,FILL,2026-02-25T16:14:43.129339Z,partial_fill,312.26,8,buy,MDB,4,80095f24-f5ce-420c-91f0-4ff96296ea9a,8,partially_filled
20260225104530383::b6c554fb-c31b-4d7f-b265-d30aa8ccd407,FILL,2026-02-25T15:45:30.383826Z,fill,30.25,128,buy,LQDA,0,4b3531a6-a67d-42af-a330-b76e35cfa095,128,filled
20260225104428368::2debd410-f631-4c5c-9019-8d0e1c8bcf73,FILL,2026-02-25T15:44:28.368406Z,fill,23.77,185,buy,RVLV,0,7f7fc8c1-d0e3-49cc-bab0-f425045e947a,185,filled
20260225102236485::9f23201b-6d17-4bf8-946d-dfd1ce6424d8,FILL,2026-02-25T15:22:36.485Z,fill,53.79,1,sell_short,FOXA,0,769f721d-1e04-4bd3-9157-c89e963e9e7b,243,filled
20260225102236181::89d475ba-df4c-4eec-a774-cbf83f6e9f17,FILL,2026-02-25T15:22:36.181575Z,fill,77.46,169,sell_short,GDDY,0,f1d05cbc-783f-4f63-a4d4-7b844a6e3b6f,169,filled
20260225102235905::97ece4e1-74a3-4c3b-9cd9-348864d4d09c,FILL,2026-02-25T15:22:35.90536Z,partial_fill,53.79,1,sell_short,FOXA,1,769f721d-1e04-4bd3-9157-c89e963e9e7b,242,partially_filled
20260225102235147::3d321984-af20-4b77-a05b-13972bcc0506,FILL,2026-02-25T15:22:35.147303Z,partial_fill,53.79,4,sell_short,FOXA,2,769f721d-1e04-4bd3-9157-c89e963e9e7b,241,partially_filled
20260225102234452::0ca74b95-631f-4629-ad42-22deb00f4067,FILL,2026-02-25T15:22:34.452143Z,partial_fill,53.79,237,sell_short,FOXA,6,769f721d-1e04-4bd3-9157-c89e963e9e7b,237,partially_filled
20260225102222702::5861aab3-748a-48d0-9b4f-01c9cc85f962,FILL,2026-02-25T15:22:22.702032Z,fill,118.58,54,buy,FLUT,0,6349dcb6-b935-4f58-be96-37c131050600,115,filled
20260225102221873::89f35416-50ed-4c51-b4d5-0a26fad85e60,FILL,2026-02-25T15:22:21.873184Z,partial_fill,118.58,1,buy,FLUT,54,6349dcb6-b935-4f58-be96-37c131050600,61,partially_filled
20260225102220902::4ca2ee9f-03d9-4424-aad5-96391c8220b1,FILL,2026-02-25T15:22:20.902578Z,partial_fill,118.58,60,buy,FLUT,55,6349dcb6-b935-4f58-be96-37c131050600,60,partially_filled
20260225102218149::4dc25263-bb0f-4dfc-9938-32c301980a1d,FILL,2026-02-25T15:22:18.149176Z,fill,29.46,1,sell,GMAB,0,88e8993e-f1a9-48d2-8331-dc5f67aa1654,159,filled
20260225102217371::f9a3274a-456c-4a1a-a99d-5060cd428b61,FILL,2026-02-25T15:22:17.371004Z,partial_fill,29.46,1,sell,GMAB,1,88e8993e-f1a9-48d2-8331-dc5f67aa1654,158,partially_filled
20260225102217190::818f7252-2db2-4d99-931d-ce141a9cee14,FILL,2026-02-25T15:22:17.190264Z,fill,95.43,4,sell,GH,0,268d41d3-76f0-4265-98d5-b7badda3382e,43,filled
20260225102217103::9fc547df-f667-4ab0-9dcb-155b44496cfd,FILL,2026-02-25T15:22:17.1039Z,fill,16.21,60,sell,SHC,0,75719fd9-7771-4d4d-a985-dea5cfffa7ce,271,filled
20260225102216957::7ad7a1f4-e6b0-4987-8bf7-5e242c2f29c3,FILL,2026-02-25T15:22:16.957539Z,partial_fill,29.46,1,sell,GMAB,2,88e8993e-f1a9-48d2-8331-dc5f67aa1654,157,partially_filled
20260225102216944::10eb5dc6-6f35-41bf-aa06-e1340ea64100,FILL,2026-02-25T15:22:16.944231Z,fill,40.18,5,sell,SRLN,0,2eaef314-a740-4a4d-a15e-42d1f9b933c2,116,filled
